source,section,subsection,type,content,tags,weight
cisco_ipv4_vlsm_ipv6,RIP ROUTING — IPV6,Configure RIPng for IPv6,command,"# Start IPv6 RIP process (number = process ID, e.g. 1)
ipv6 router rip 1

# Enable RIPng per interface — must be done on EACH interface with an IPv6 address
interface gi0/0/0
 ipv6 rip 1 enable

interface s0/1/0
 ipv6 rip 1 enable

interface loopback 1
 ipv6 rip 1 enable

# Verify — learned routes appear with R prefix
show ipv6 route","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,ipv,vlsm,variable,length,subnet,mask,subnetting,efficient,assign,default,gateway,update,timers,version,redistribute,rout,ipv6,configur,ripng,process,number,id,enable,activate,allow,start,enabl,interfac,must,done,gi0,s0,loopback,verifi,learned,learn,routes,appear,prefix,loopback interface,ipv6 rip,rip enable,ipv6 rip enable,rip enable interface,enable interface,enable ripng,learned routes appear,an ipv6",0.7282
cisco_ipv4_vlsm_ipv6,PC IP CONFIGURATION,Configure IPv4 on PCs,prose,"Open ncpa.cpl (Win+R), select the active network interface.
Set:
  IP address: from your subnet plan
  Subnet mask: 255.255.255.192 (or per your calculation)
  Default gateway: IP address of the router interface in the same subnet

Test: ping other PC, ping router interfaces, ping loopback interfaces.","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,ipv,vlsm,variable,length,subnet,mask,subnetting,efficient,assign,pc,desktop,computer,client,workstation,machine,configuration,configur,ipv4,pcs,open,ncpa,cpl,win,select,active,activ,work,interfac,plan,calculation,calcul,default,gateway,test,ping,interfaces,loopback,subnet mask,loopback interface,ping router,active network,address of the,gateway ip,ip address of,on pcs,other pc,router interfaces",0.5904
cisco_ipv4_vlsm_ipv6,PC IP CONFIGURATION,Configure IPv6 on PCs,steps,"1. Open ncpa.cpl (Win+R)
2. Open properties of the active network interface
3. Select 'Internet Protocol Version 6 (TCP/IPv6)'
4. Choose 'Obtain an IPv6 address automatically'
5. Close all tabs
6. Verify with: ipconfig /all — check for an IPv6 address
7. Test: ping IPv6 address of other PC or router interface","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,ipv,vlsm,variable,length,subnet,mask,subnetting,efficient,assign,pc,desktop,computer,client,workstation,machine,configuration,configur,ipv6,pcs,open,ncpa,cpl,win,properties,properti,property,active,activ,work,interfac,select,internet,protocol,version,tcp,choose,choos,obtain,automatically,automat,close,tabs,tab,verifi,ipconfig,test,ping,an ipv6,an ipv6 address,ipv6 address,configure ipv6,configure ipv6 on,active network,on pcs,other pc",0.6674
cisco_ipv4_vlsm_ipv6,PC IP CONFIGURATION,Switch Default Gateway,command,"# Required so switch can forward packets to unknown (remote) networks
ip default-gateway <router-interface-IP-in-same-subnet>

# Verify ping from switch to remote devices after setting this","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,ipv,vlsm,variable,length,subnet,mask,subnetting,efficient,assign,pc,desktop,computer,client,workstation,machine,configuration,configur,default,gateway,required,requir,forward,packets,packet,unknown,remot,networks,works,default-gateway,router-interface-ip-in-same-subnet,verifi,ping,devices,devic,device,setting,after setting,verify ping,ip default-gateway,pc ip configuration,switch to,configuration switch,ip configuration,pc ip",0.6672
cisco_ipv4_vlsm_ipv6,VERIFICATION AND DIAGNOSTICS,Useful Show Commands,command,"show ip route              # IPv4 routing table (C = connected, R = learned via RIP)
show ipv6 route            # IPv6 routing table
show ip interface brief    # summary of all interfaces and their status
show interfaces            # detailed interface statistics
show version               # hardware, IOS version, uptime
show startup-config        # saved config in NVRAM
show running-config        # active config in RAM
show cdp neighbor          # discover directly connected Cisco devices","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,ipv,vlsm,variable,length,subnet,mask,subnetting,efficient,assign,linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,id,query,man,verification,verif,diagnostics,diagnost,useful,use,command,rout,ipv4,tabl,connected,connect,learned,learn,ipv6,interfac,brief,summary,summari,interfaces,status,statu,detailed,detail,statistics,statist,statistic,version,hardware,hardwar,io,uptime,uptim,startup-config,saved,save,nvram,running-config,active,activ,ram,cdp,neighbor,discover,discov,directly,directli,devices,devic,device,ip route,routing table,rip show,all interfaces and,and diagnostics,cisco devices,commands show ip,detailed interface,in nvram",0.6165
cisco_ipv4_vlsm_ipv6,VERIFICATION AND DIAGNOSTICS,Connectivity Testing Checklist,prose,"Before testing ping, verify routing tables on both routers:
  show ip route   — all subnets should appear (C = connected, R = learned)
  show ipv6 route — same for IPv6

Expected ping results when configured correctly:
  PC1 <-> PC2: yes (same or routed subnet)
  PC -> router interfaces: yes
  PC -> loopback interfaces: yes (via RIP)
  PC -> remote switch SVI: may fail until default-gateway is set on switch

If ping fails:
  - Check Windows Firewall (disable or add ICMP allow rule)
  - Verify IP addresses and default gateways
  - Verify RIP is advertising correct networks
  - Verify no shutdown on all interfaces
  - Check cable connections","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,ipv,vlsm,variable,length,subnet,mask,subnetting,efficient,assign,linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,id,query,man,verification,verif,diagnostics,diagnost,connectivity,connect,testing,test,checklist,ping,verifi,rout,tables,tabl,routers,subnets,appear,connected,learned,learn,ipv6,expected,expect,results,result,configured,configur,correctly,correctli,pc1,pc2,yes,ye,routed,pc,desktop,computer,client,workstation,machine,interfaces,interfac,loopback,remot,svi,may,fail,default-gateway,fails,windows,server,win,microsoft,ad,domain,active directory,window,firewall,firewall-cmd,iptables,allow,block,rule,zone,permanent,firewal,disable,lock,deactivate,prevent,disabl,add,create,new,useradd,adduser,install,join,make,icmp,addresses,default,gateways,gateway,is set,learned show,and diagnostics,both routers,cable connections,check windows,check windows firewall,interfaces check",0.5527
cisco_intervlan_routing,TOPOLOGY AND NAMING,Device Names and Serial Interfaces,prose,"Device naming convention for this lab:
  Router A (set x) = RTR_Dorpsstraat
  Switch A (set x) = SW_Dorpsstraat
  Router B (set x) = RTR_Dorpsplein
  Switch B (set x) = SW_Dorpsplein

Routers A and B are serially connected on S../../0 (rightmost digit = 0).
Verify exact serial interface name: show ip interface brief

Cabling summary:
  PC -> Switch: straight cable (port 1 or 2)
  Switch -> Router (trunk): one of trunk ports 23 or 24
  Router A <-> Router B: serial cable on S../../0","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,topology,topolog,naming,name,device,devic,names,serial,interfaces,interfac,convention,convent,lab,rtr,dorpsstraat,sw,dorpsplein,routers,serially,connected,connect,rightmost,digit,verifi,exact,brief,cabling,cabl,summary,summari,pc,desktop,computer,client,workstation,machine,straight,cable,ports,switch set,for this lab,device naming,serial interfaces,this lab,topology and,for this,interface name",0.6455
cisco_intervlan_routing,BASIC CONFIGURATION,Router and Switch Base Config,command,"hostname <name>
enable secret cisco
line console 0
 login
 password cisco
 logging synchronous
line vty 0 4
 login
 password class
banner motd $verboden voor onbevoegden!$
no ip domain-lookup
service password-encryption","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,basic,configuration,configur,base,hostname,hostnam,name,enable,activate,allow,start,enabl,secret,console,consol,password,passwd,chage,credentials,pass,pwd,logging,log,synchronous,synchron,vti,class,banner,motd,verboden,voor,onbevoegden,domain-lookup,service,servic,password-encryption,password-encrypt,login password,banner motd verboden,basic configuration router,config hostname name,domain-lookup service,domain-lookup service password-encryption,ip domain-lookup service,motd verboden",0.7236
cisco_intervlan_routing,SSH CONFIGURATION,Configure SSH on Routers,command,"ip domain-name bmc.beerenburg
username cisco password cisco
crypto key generate rsa
# Enter 2048 when prompted (more secure than 512 or 1024)

# If SSH still does not work, try:
aaa new-model
# To undo:
no aaa new-model

# Configure VTY to use local login for SSH
line vty 0 15
 transport input ssh
 login local","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,local,configuration,configur,routers,domain-name,domain-nam,bmc,beerenburg,username,usernam,name,password,passwd,chage,secret,credentials,pass,pwd,key,generate,gener,enter,prompted,prompt,secur,still,work,try,tri,aaa,new-model,undo,vti,input,crypto rsa,ssh vty,aaa new-model,aaa new-model to,cisco crypto,cisco crypto key,configure ssh,password cisco crypto,ssh line,ssh line vty",0.7145
cisco_intervlan_routing,SSH CONFIGURATION,SSH Notes,prose,"SSH requirements:
  1. Hostname must be set (not default)
  2. Domain name must be set (ip domain-name)
  3. RSA keys must be generated (crypto key generate rsa)
  4. Local username and password must exist
  5. VTY lines must use 'login local' and 'transport input ssh'

Do NOT change the domain name after generating RSA keys — keys are tied to hostname + domain.
2048-bit key = SSHv2 (recommended).
SSH cannot be tested until IP addresses are configured on routers and PCs.","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,local,configuration,configur,notes,note,tes,requirements,requir,requirement,hostname,hostnam,must,default,domain,ad,active directory,forest,dc,join,client,computer,adds,school.test,name,domain-name,domain-nam,keys,key,generated,gener,generate,username,usernam,password,passwd,chage,secret,credentials,pass,pwd,exist,vti,lines,line,input,chang,generating,tied,tie,bit,sshv2,recommended,recommend,cannot,tested,test,addresses,configured,routers,pcs,pc,desktop,workstation,machine,crypto rsa,ssh vty,domain name,rsa keys,must be,default domain,cannot be,on routers and,set ip,username and",0.5715
cisco_intervlan_routing,VLAN CONFIGURATION,Create and Assign VLANs,command,"# Switch A (SW_Dorpsstraat)
vlan 11
 name fysio1
vlan 12
 name huisarts1
end

interface range gi1/0/1 - 2
 switchport mode access
 switchport access vlan 11

interface range gi1/0/3 - 4
 switchport mode access
 switchport access vlan 12

# Switch B (SW_Dorpsplein)
vlan 26
 name fysio2
vlan 27
 name huisarts2
end

interface range gi1/0/1 - 2
 switchport mode access
 switchport access vlan 26

interface range gi1/0/3 - 4
 switchport mode access
 switchport access vlan 27

# Trunk ports on both switches
interface range gi1/0/23 - 24
 switchport mode trunk
# On older switches, if error:
 switchport trunk encapsulation dot1q

# Verify
show vlan brief
show interfaces trunk","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,allowed,mode,configuration,configur,create,add,new,make,useradd,adduser,install,build,creat,assign,vlans,sw,dorpsstraat,name,fysio1,huisarts1,end,interfac,range,rang,gi1,dorpsplein,fysio2,huisarts2,ports,switches,older,error,encapsulation,encapsul,dot1q,verifi,brief,interfaces,vlan trunk,vlan access,dot1q encapsulation,interface range gi1,range gi1,range gi1 switchport,gi1 switchport,gi1 switchport mode,interface range,access switchport,access switchport access",0.7373
cisco_intervlan_routing,IP ADDRESSING,IPv4 and IPv6 Address Plan,prose,"Base range for homework VLSM: 12.10.0.0/16 (minimum 11 subnets if VLANs included)

Pre-calculated example subnets (mask /19 = 255.255.224.0):
  172.16.0.0/19    LAN Router A (VLAN 11)         IPv6: 2001:A:B:0::/64
  172.16.32.0/19   Between Router A and B          IPv6: 2001:A:B:32::/64
  172.16.64.0/19   LAN Router B (VLAN 25)          IPv6: 2001:A:B:64::/64
  172.16.96.0/19   Between Router B and C          IPv6: 2001:A:B:96::/64
  172.16.128.0/19  LAN Router C (VLAN 36)          IPv6: 2001:A:B:128::/64
  172.16.160.0/19  Between Router C and D          IPv6: 2001:A:B:160::/64
  172.16.192.0/19  LAN Router D (VLAN 90)          IPv6: 2001:A:B:192::/64
  172.16.224.0/19  Spare                           IPv6: 2001:A:B:224::/64

IPv6 base range: 2001:A:B::/48
Default gateway for PCs = IP address of the directly connected router interface.","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,addressing,ipv4,ipv6,plan,base,range,rang,homework,vlsm,variable,length,subnet,mask,subnetting,efficient,assign,minimum,subnets,vlans,included,includ,pre-calculated,pre-calcul,example,exampl,spare,default,gateway,pcs,pc,desktop,computer,client,workstation,machine,directly,directli,connected,connect,interfac,router vlan,and ipv6,router and,address of the,ip address of,minimum subnets,default gateway for,example subnets",0.638
cisco_intervlan_routing,INTER-VLAN ROUTING,Router-on-a-Stick Concept,prose,"Normal router interface config assigns one IP to the physical port = only one VLAN.
Inter-VLAN routing (router-on-a-stick) uses subinterfaces on one physical port to route between multiple VLANs.

Process:
  1. Enable the physical interface (no shutdown) — do NOT assign an IP to it
  2. Create a subinterface per VLAN (e.g. gi0/0/0.11 for VLAN 11)
  3. Set encapsulation to dot1Q with the VLAN ID
  4. Assign an IP address to the subinterface

The trunk port on the switch carries tagged VLAN traffic to the router.
The router uses the subinterface to route between VLANs.","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,allowed,mode,default,gateway,inter-vlan,rout,router-on-a-stick,concept,normal,rmal,interfac,assigns,assign,physical,physic,uses,use,us,subinterfaces,subinterfac,multiple,multipl,vlans,process,enable,activate,allow,start,enabl,shutdown,create,add,new,make,useradd,adduser,install,build,creat,subinterface,gi0,encapsulation,encapsul,dot1q,id,carries,carri,carry,tagged,tag,traffic,ip route,vlan trunk,dot1q encapsulation,physical port,inter-vlan routing router-on-a-stick,routing router-on-a-stick,an ip,ip to,inter-vlan routing,to the,the router",0.6128
cisco_intervlan_routing,INTER-VLAN ROUTING,Configure Router-on-a-Stick,command,"# Check interface name first
show ip interface brief

# RTR_Dorpsstraat (Router A) — VLAN 11
interface GigabitEthernet0/0/0
 no shutdown
interface GigabitEthernet0/0/0.11
 encapsulation dot1Q 11
 ip address 172.16.0.1 255.255.224.0

# RTR_Dorpsplein (Router B) — VLAN 25
interface GigabitEthernet0/0/0
 no shutdown
interface GigabitEthernet0/0/0.25
 encapsulation dot1Q 25
 ip address 172.16.64.1 255.255.224.0

# Verify
show ip interface brief","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,allowed,mode,default,gateway,inter-vlan,rout,configur,router-on-a-stick,interfac,name,brief,rtr,dorpsstraat,gigabitethernet0,shutdown,encapsulation,encapsul,dot1q,dorpsplein,verifi,dot1q encapsulation,interface gigabitethernet0,gigabitethernet0 encapsulation,gigabitethernet0 encapsulation dot1q,gigabitethernet0 no,gigabitethernet0 no shutdown,interface gigabitethernet0 encapsulation,interface gigabitethernet0 no,router vlan",0.7591
cisco_intervlan_routing,INTER-VLAN ROUTING,Serial Interface Configuration,command,"# Configure serial interface between routers — do this FIRST
# Router A
interface s0/0/0
 ip address 172.16.32.1 255.255.224.0
 no shutdown

# Router B
interface s0/0/0
 ip address 172.16.32.2 255.255.224.0
 no shutdown

# Verify both interfaces come up and test
show ip interface brief
ping 172.16.32.2   # from Router A
ping 172.16.32.1   # from Router B","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,allowed,mode,default,gateway,inter-vlan,rout,serial,interfac,configuration,configur,routers,s0,shutdown,verifi,interfaces,come,test,brief,ping,from router,router interface s0,interface s0 ip,ping from,s0 ip,s0 ip address,interface s0,ip address no",0.7154
cisco_intervlan_routing,RIP ROUTING,Configure RIPv2,command,"router rip
 version 2
 no auto-summary
 do show ip route
 network <network-1-from-C-routes>
 network <network-2-from-C-routes>
# Some routers require a third network entry

# Verify — learned routes shown with R prefix
do show ip route","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,default,gateway,update,timers,version,redistribute,rout,configur,ripv2,auto-summary,auto-summari,work,network-1-from-c-routes,network-1-from-c-rout,work-1-from-c-routes,network-2-from-c-routes,network-2-from-c-rout,work-2-from-c-routes,routers,require,requir,third,entry,entri,verifi,learned,learn,routes,shown,prefix,ip route,do show ip,do show,show ip route,learned routes shown,auto-summary do,auto-summary do show,configure ripv2",0.7299
cisco_intervlan_routing,DHCP CONFIGURATION,Configure DHCP Server on Router (Optional),command,"# Assign IP to extra router interface
interface <extra-interface>
 ip address 101.1.1.1 255.0.0.0
 no shutdown

# Connect PC directly to this interface with a cross cable

# Exclude static addresses from DHCP pool
ip dhcp excluded-address 101.1.1.1 101.1.1.10

# Create DHCP pool
ip dhcp pool Lan_Zuidplein
 network 101.0.0.0 255.0.0.0
 default-router 101.1.1.1
 dns-server 8.8.8.8
 domain-name bmc.local

# Test: set PC NIC to DHCP and verify it receives an address","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,default,configuration,configur,server,optional,option,assign,extra,interfac,extra-interface,extra-interfac,shutdown,connect,pc,desktop,computer,client,workstation,machine,directly,directli,cross,cable,cabl,exclude,exclud,addresses,excluded-address,create,add,new,make,useradd,adduser,install,build,creat,zuidplein,work,default-router,default-rout,dns-server,domain-name,domain-nam,bmc,local,test,verifi,receives,receiv,ip dhcp,dhcp pool,local test,addresses from,dhcp excluded-address create,dhcp server on,dns-server domain-name,dns-server domain-name bmc",0.7085
cisco_intervlan_routing,VERIFICATION,Connectivity and Config Checks,command,"show ip interface brief          # verify all interfaces are up
show ip route                    # verify all networks present (C = connected, R = RIP learned)
show vlan brief                  # verify VLAN port assignments
show interfaces trunk            # verify trunk ports
ping <remote-IP>                 # test end-to-end reachability

# SSH test — connect via PuTTY to router IP using SSH
# If SSH fails: verify domain-name, RSA keys, 'login local', 'transport input ssh'","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,intervlan,linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,id,query,man,verification,verif,connectivity,connect,checks,interfac,brief,verifi,interfaces,rout,networks,works,present,connected,learned,learn,assignments,assign,assignment,ports,ping,remote-ip,test,end-to-end,reachability,reachabl,putty,putti,fails,fail,domain-name,domain-nam,keys,key,local,input,ip route,vlan trunk,brief verify,learned show,vlan port,assignments show interfaces,test connect,test connect via,trunk verify,up show",0.6524
cisco_troubleshooting_lab,TROUBLESHOOTING METHODOLOGY,General Approach,prose,"Step-by-step troubleshooting process:
1. READ the assignment carefully
2. Fill in the network diagram accurately
3. Identify what DOES work — narrow down where the problem is
4. Form a hypothesis about the cause
5. Change ONE setting at a time — if it does not fix the problem, revert it
6. Keep notes of every change made
7. Repeat until resolved

IMPORTANT: Never change multiple settings at once. Always revert unsuccessful changes before trying the next step.","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,troubleshooting,lab,troubleshoot,methodology,methodolog,general,gener,approach,step-by-step,process,read,assignment,assign,carefully,care,fill,work,diagram,accurately,accur,identify,identifi,narrow,problem,form,hypothesis,hypothesi,cause,caus,chang,setting,time,fix,revert,keep,notes,note,tes,made,repeat,resolved,resolv,important,import,never,multiple,multipl,settings,always,alway,unsuccessful,unsuccess,changes,trying,tri,step,the problem,next step,problem is,the next,troubleshooting methodology,what does,at once,fill in the",0.577
cisco_troubleshooting_lab,TROUBLESHOOTING METHODOLOGY,Useful Diagnostic Tools,command,"# On Windows PC
ipconfig /all                        # check IP, subnet mask, default gateway, DNS
ping <IP>                            # test reachability
tracert <IP>                         # trace path, find where packets stop
route print                          # view routing table on PC
arp -a                               # view ARP cache

# On Cisco router/switch
show ip interface brief              # check interface status and IP addresses
show ip route                        # view routing table
show ip interface <name>             # detailed info including subnet mask
show running-config                  # full active configuration
ping <IP>                            # test reachability from router","cisco,router,switch,networking,commands,ios,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,vlan,trunk,access,switchport,lan,virtual,network,routing,route,ospf,rip,static,dynamic,table,acl,access list,permit,deny,filter,wildcard,control,nat,translation,inside,outside,overload,masquerade,pat,dhcp,ip,address,lease,pool,dns,ssh,secure,remote,login,telnet,crypto,rsa,transport,vty,configure,config,setup,set,customise,customize,edit,change,show,display,list,view,check,get,verify,print,troubleshooting,lab,troubleshoot,methodology,methodolog,useful,use,diagnostic,diagnost,tools,tool,windows,server,win,microsoft,ad,domain,active directory,window,pc,desktop,computer,client,workstation,machine,ipconfig,subnet,subnetting,cidr,mask,vlsm,prefix,default,gateway,dn,ping,test,reachability,reachabl,tracert,trace,path,find,packets,packet,stop,rout,tabl,arp,cache,cach,interfac,brief,status,statu,addresses,name,detailed,detail,info,including,includ,running-config,full,active,activ,configuration,configur,ip route,subnet mask,default route,test reachability,ip test,ping ip,view routing,view routing table,routing table,show ip,show ip interface",0.6604
